[2021-01-27 18:26:57] [INFO] >> TestCase.py >> 第73行  - 用例：校验报价成功的数据是否有报价历史 
[2021-01-27 18:26:57] [INFO] >> CustomerList.py >> 第405行  - 筛选报价成功数据 
[2021-01-27 18:26:57] [INFO] >> Requests_util.py >> 第10行  - 请求参：[https://bot.91bihu.com/carbusiness/api/v1/customer/querylist{'pageIndex': 1, 'pageSize': 45, 'selectType': 1, 'quoteStatus': [1], 'topLabel': 'tab_quanbukehu', 'orderBy': {'orderByField': 'updateTime', 'orderByType': 'desc'}, 'isFllowUp': '', 'isDataLable': '', 'dataTag': '', 'dataTypeId': 0, 'isMaintain': 1, 'firstSearch': True}{}] 
